appliance_family,appliance_category,geography,sample_size,fixed_count,repairable_count,end_of_life_count,insufficient_evidence,confidence_level,limitations
Air treatment,Dehumidifier and portable air conditioner,global_fallback,1369,552,302,429,false,low,Category benchmark from Open Repair Alliance community repair events. Self-selected sample; not a prediction for your specific appliance or model. ORA categories: Aircon/dehumidifier. Fewer than 30 Australian records; global ORA data shown as labelled fallback.
Air treatment,Fan,AU,50,24,7,19,false,high,Category benchmark from Open Repair Alliance community repair events. Self-selected sample; not a prediction for your specific appliance or model. ORA categories: Fan. Australian records only.
Cleaning,Vacuum cleaner,AU,229,110,61,58,false,high,Category benchmark from Open Repair Alliance community repair events. Self-selected sample; not a prediction for your specific appliance or model. ORA categories: Vacuum. Australian records only.
Complex kitchen,Air fryer and other complex kitchen,AU,169,73,32,64,false,high,Category benchmark from Open Repair Alliance community repair events. Self-selected sample; not a prediction for your specific appliance or model. ORA categories: Small kitchen item. Australian records only.
Complex kitchen,Coffee machine,AU,89,17,23,49,false,high,Category benchmark from Open Repair Alliance community repair events. Self-selected sample; not a prediction for your specific appliance or model. ORA categories: Coffee maker. Australian records only.
Heating and simple cooking,Kettle,AU,52,21,7,24,false,high,Category benchmark from Open Repair Alliance community repair events. Self-selected sample; not a prediction for your specific appliance or model. ORA categories: Kettle. Australian records only.
Heating and simple cooking,Rice cooker and small kitchen appliances,AU,169,73,32,64,false,high,Category benchmark from Open Repair Alliance community repair events. Self-selected sample; not a prediction for your specific appliance or model. ORA categories: Small kitchen item. Australian records only.
Heating and simple cooking,Toaster,AU,118,42,16,60,false,high,Category benchmark from Open Repair Alliance community repair events. Self-selected sample; not a prediction for your specific appliance or model. ORA categories: Toaster. Australian records only.
Motorised kitchen,Blender mixer and food processor,AU,185,72,38,75,false,high,Category benchmark from Open Repair Alliance community repair events. Self-selected sample; not a prediction for your specific appliance or model. ORA categories: Food processor. Australian records only.
Personal care,Hair and beauty appliances,AU,44,27,6,11,false,high,Category benchmark from Open Repair Alliance community repair events. Self-selected sample; not a prediction for your specific appliance or model. ORA categories: Hair & beauty item. Australian records only.
Personal care,Hair dryer,global_fallback,3271,2100,252,818,false,low,Category benchmark from Open Repair Alliance community repair events. Self-selected sample; not a prediction for your specific appliance or model. ORA categories: Hair dryer. Fewer than 30 Australian records; global ORA data shown as labelled fallback.
